cp,artist,song,section,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres,text_2,type,key_labels
"1,5,6",aerosmith,cryin',verse,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.367,0.486,105.872,308333.0,3.0,3,"['album rock', 'classic rock', 'hard rock', 'rock']","There was a time
When I was so brokenhearted
Love wasn't much of a friend of mine
The tables have turned - yeah
'Cause me and them ways have parted
That kinda love was the killin' kind
All I want is someone I can't resist
I know - all I - need to know
By the way I got kissed
Now I'm dryin' 'cause I let you
Do what you do down on me
Now there's not even breathing room
Between pleasure and pain
Yeah you cry when we're makin' love
Must be one and the same
It's down on me
Yeah, I got to tell you one thing
It's been on my mind, girl I gotta say
We're partners in crime
You got that certain something
What you do to me takes my breath away
Now the word out on the street
Is the devil's in your kiss
If our love goes up in flames
That's a fire I can't resist
Do what you do to me
'Cause what you got inside
Ain't where your love should stay
Yeah, our love, sweet love, ain't love
'Til you give your heart away
Now I'm dyin' just to let you
Do what you do, what you do down on me
Baby, baby, baby
Do what you do down to, down to, down to",album rock,$A$
"4,1,4,1",aerosmith,cryin',pre-chorus,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.367,0.486,105.872,308333.0,3.0,4,"['album rock', 'classic rock', 'hard rock', 'rock']","I was cryin' when I met you
Now I'm tryin' to forget you
Your love is sweet misery
I was cryin' just to get you
Now I'm dyin' 'cause I let you",album rock,$A$
"6,3,4,1,5",aerosmith,cryin',verse,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.367,0.486,105.872,308333.0,3.0,5,"['album rock', 'classic rock', 'hard rock', 'rock']","There was a time
When I was so brokenhearted
Love wasn't much of a friend of mine
The tables have turned - yeah
'Cause me and them ways have parted
That kinda love was the killin' kind
All I want is someone I can't resist
I know - all I - need to know
By the way I got kissed
Now I'm dryin' 'cause I let you
Do what you do down on me
Now there's not even breathing room
Between pleasure and pain
Yeah you cry when we're makin' love
Must be one and the same
It's down on me
Yeah, I got to tell you one thing
It's been on my mind, girl I gotta say
We're partners in crime
You got that certain something
What you do to me takes my breath away
Now the word out on the street
Is the devil's in your kiss
If our love goes up in flames
That's a fire I can't resist
Do what you do to me
'Cause what you got inside
Ain't where your love should stay
Yeah, our love, sweet love, ain't love
'Til you give your heart away
Now I'm dyin' just to let you
Do what you do, what you do down on me
Baby, baby, baby
Do what you do down to, down to, down to",album rock,$A$
"5,6,3,4,1",aerosmith,cryin',verse,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.367,0.486,105.872,308333.0,3.0,5,"['album rock', 'classic rock', 'hard rock', 'rock']","There was a time
When I was so brokenhearted
Love wasn't much of a friend of mine
The tables have turned - yeah
'Cause me and them ways have parted
That kinda love was the killin' kind
All I want is someone I can't resist
I know - all I - need to know
By the way I got kissed
Now I'm dryin' 'cause I let you
Do what you do down on me
Now there's not even breathing room
Between pleasure and pain
Yeah you cry when we're makin' love
Must be one and the same
It's down on me
Yeah, I got to tell you one thing
It's been on my mind, girl I gotta say
We're partners in crime
You got that certain something
What you do to me takes my breath away
Now the word out on the street
Is the devil's in your kiss
If our love goes up in flames
That's a fire I can't resist
Do what you do to me
'Cause what you got inside
Ain't where your love should stay
Yeah, our love, sweet love, ain't love
'Til you give your heart away
Now I'm dyin' just to let you
Do what you do, what you do down on me
Baby, baby, baby
Do what you do down to, down to, down to",album rock,$A$
"1,5,6",katy perry,firework,chorus,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']","You just gotta ignite the light
And let it shine
Just own the night
Like the fourth of July
'Cause baby you're a firework
Come on show 'em what your worth
Make 'em go ""oh, oh, oh!""
As you shoot across the sky-y-y
Baby you're a firework
Come on let your colors burst",dance pop,$G♯/A♭$
"1,5,6",katy perry,firework,pre-chorus,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']","You just gotta ignite the light
And let it shine
Just own the night
Like the fourth of July
'Cause baby you're a firework
Come on show 'em what your worth
Make 'em go ""oh, oh, oh!""
As you shoot across the sky-y-y
Baby you're a firework
Come on let your colors burst",dance pop,$G♯/A♭$
"1,5,4",katy perry,firework,verse,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']","Do you ever feel like a plastic bag
Drifting through the wind
Wanting to start again
Do you ever feel so paper thin
Like a house of cards
One blow from caving in
Do you ever feel already buried deep
Six feet under screams
But no one seems to hear a thing
Do you know that there's still a chance for you
'Cause there's a spark in you
You're gonna leave 'em falling down down down
You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow
Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know
You're gonna leave 'em all in awe-awe-awe
Boom, boom, boom
Even brighter than the moon, moon, moon
And it's always been inside of you you you
And now it's time to let it through
You're gonna leave 'em all in awe awe awe",dance pop,$G♯/A♭$
"5,6,3",katy perry,firework,chorus,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']","You just gotta ignite the light
And let it shine
Just own the night
Like the fourth of July
'Cause baby you're a firework
Come on show 'em what your worth
Make 'em go ""oh, oh, oh!""
As you shoot across the sky-y-y
Baby you're a firework
Come on let your colors burst",dance pop,$G♯/A♭$
"5,4,3,1,5",katy perry,firework,verse,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,5,"['dance pop', 'pop', 'post-teen pop']","Do you ever feel like a plastic bag
Drifting through the wind
Wanting to start again
Do you ever feel so paper thin
Like a house of cards
One blow from caving in
Do you ever feel already buried deep
Six feet under screams
But no one seems to hear a thing
Do you know that there's still a chance for you
'Cause there's a spark in you
You're gonna leave 'em falling down down down
You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow
Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know
You're gonna leave 'em all in awe-awe-awe
Boom, boom, boom
Even brighter than the moon, moon, moon
And it's always been inside of you you you
And now it's time to let it through
You're gonna leave 'em all in awe awe awe",dance pop,$G♯/A♭$
"1,5,6",the beatles,i want to hold your hand,verse,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,145747.0,4.0,3,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']","Oh yeah I tell you somethin'
Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
When I feel that somethin'",british invasion,$G$
"4,5,4,5,4",the beatles,i want to hold your hand,intro,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,145747.0,4.0,5,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']","Oh yeah I tell you somethin'
Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
When I feel that somethin'",british invasion,$G$
"5,4,5,4,5",the beatles,i want to hold your hand,intro,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,145747.0,4.0,5,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']","Oh yeah I tell you somethin'
Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
When I feel that somethin'",british invasion,$G$
"1,5,6",the beatles,let it be,verse,0.4429999999999999,0.4029999999999999,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,243027.0,4.0,3,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']","When I find myself in times of trouble, Mother Mary comes to me
And in my hour of darkness she is standing right in front of me
And when the broken hearted people living in the world agree
For though they may be parted, there is still a chance that they will see
And when the night is cloudy there is still a light that shines on me
Shine until tomorrow, let it be
I wake up to the sound of music, Mother Mary comes to me",british invasion,$C$
"1,5,4",the beatles,let it be,verse,0.4429999999999999,0.4029999999999999,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,243027.0,4.0,3,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']","When I find myself in times of trouble, Mother Mary comes to me
And in my hour of darkness she is standing right in front of me
And when the broken hearted people living in the world agree
For though they may be parted, there is still a chance that they will see
And when the night is cloudy there is still a light that shines on me
Shine until tomorrow, let it be
I wake up to the sound of music, Mother Mary comes to me",british invasion,$C$
"6,5,4,1,5",the beatles,let it be,chorus,0.4429999999999999,0.4029999999999999,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,243027.0,4.0,5,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']","Speaking words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be
There will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be",british invasion,$C$
"5,4,1,5,4",the beatles,let it be,chorus,0.4429999999999999,0.4029999999999999,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,243027.0,4.0,5,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']","Speaking words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be
There will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be",british invasion,$C$
"1,5,6",fastball,out of my head,chorus,0.599,0.6659999999999999,4.0,-7.461,1.0,0.0324,0.366,0.00158,0.1689999999999999,0.482,156.20600000000002,153067.0,4.0,3,"['pop rock', 'post-grunge']","Was I out of my head or was I out of my mind?
How could I have ever been so blind?
I was waiting for an indication, it was hard to find
Don't matter what I say, only what I do
I never mean to do bad things to you
So quiet but I finally woke up
If you're sad then it's time you spoke up too",pop rock,$E$
